datum,vizszint,kut_nev,torzsszam
2025-02-23,5.78,Sátorhely,4576
2025-02-23,5.78,Sátorhely,4576
2025-02-23,5.78,Sátorhely,4576
2025-02-23,5.78,Sátorhely,4576
2025-02-23,5.78,Sátorhely,4576
2025-02-23,5.78,Sátorhely,4576
2025-02-24,5.78,Sátorhely,4576
2025-02-24,5.78,Sátorhely,4576
2025-02-24,5.78,Sátorhely,4576
2025-02-24,5.78,Sátorhely,4576
2025-02-24,5.77,Sátorhely,4576
2025-02-24,5.77,Sátorhely,4576
2025-02-25,5.77,Sátorhely,4576
2025-02-25,5.77,Sátorhely,4576
2025-02-25,5.77,Sátorhely,4576
2025-02-25,5.77,Sátorhely,4576
2025-02-25,5.77,Sátorhely,4576
2025-02-25,5.77,Sátorhely,4576
2025-02-26,5.76,Sátorhely,4576
2025-02-26,5.76,Sátorhely,4576
2025-02-26,5.76,Sátorhely,4576
2025-02-26,5.76,Sátorhely,4576
2025-02-26,5.76,Sátorhely,4576
2025-02-26,5.76,Sátorhely,4576
2025-02-27,5.76,Sátorhely,4576
2025-02-27,5.76,Sátorhely,4576
2025-02-27,5.76,Sátorhely,4576
2025-02-27,5.76,Sátorhely,4576
2025-02-27,5.76,Sátorhely,4576
2025-02-27,5.76,Sátorhely,4576
2025-02-28,5.75,Sátorhely,4576
2025-02-28,5.75,Sátorhely,4576
2025-02-28,5.75,Sátorhely,4576
2025-02-28,5.75,Sátorhely,4576
2025-02-28,5.75,Sátorhely,4576
2025-02-28,5.75,Sátorhely,4576
2025-03-01,5.75,Sátorhely,4576
